DateKey,Date,Day,Month,MonthNo,Quarter,Year
20190101,1/1/2019,Tuesday,Jan,1,1,2019
20190102,1/2/2019,Wednesday,Jan,1,1,2019
20190103,1/3/2019,Thursday,Jan,1,1,2019
20190104,1/4/2019,Friday,Jan,1,1,2019
20190105,1/5/2019,Saturday,Jan,1,1,2019
20190106,1/6/2019,Sunday,Jan,1,1,2019
20190107,1/7/2019,Monday,Jan,1,1,2019
20190108,1/8/2019,Tuesday,Jan,1,1,2019
20190109,1/9/2019,Wednesday,Jan,1,1,2019
20190110,1/10/2019,Thursday,Jan,1,1,2019
20190111,1/11/2019,Friday,Jan,1,1,2019
20190112,1/12/2019,Saturday,Jan,1,1,2019
20190113,1/13/2019,Sunday,Jan,1,1,2019
20190114,1/14/2019,Monday,Jan,1,1,2019
20190115,1/15/2019,Tuesday,Jan,1,1,2019
20190116,1/16/2019,Wednesday,Jan,1,1,2019
20190117,1/17/2019,Thursday,Jan,1,1,2019
20190118,1/18/2019,Friday,Jan,1,1,2019
20190119,1/19/2019,Saturday,Jan,1,1,2019
20190120,1/20/2019,Sunday,Jan,1,1,2019
20190121,1/21/2019,Monday,Jan,1,1,2019
20190122,1/22/2019,Tuesday,Jan,1,1,2019
20190123,1/23/2019,Wednesday,Jan,1,1,2019
20190124,1/24/2019,Thursday,Jan,1,1,2019
20190125,1/25/2019,Friday,Jan,1,1,2019
20190126,1/26/2019,Saturday,Jan,1,1,2019
20190127,1/27/2019,Sunday,Jan,1,1,2019
20190128,1/28/2019,Monday,Jan,1,1,2019
20190129,1/29/2019,Tuesday,Jan,1,1,2019
20190130,1/30/2019,Wednesday,Jan,1,1,2019
20190131,1/31/2019,Thursday,Jan,1,1,2019
20190201,2/1/2019,Friday,Feb,2,1,2019
20190202,2/2/2019,Saturday,Feb,2,1,2019
20190203,2/3/2019,Sunday,Feb,2,1,2019
20190204,2/4/2019,Monday,Feb,2,1,2019
20190205,2/5/2019,Tuesday,Feb,2,1,2019
20190206,2/6/2019,Wednesday,Feb,2,1,2019
20190207,2/7/2019,Thursday,Feb,2,1,2019
20190208,2/8/2019,Friday,Feb,2,1,2019
20190209,2/9/2019,Saturday,Feb,2,1,2019
20190210,2/10/2019,Sunday,Feb,2,1,2019
20190211,2/11/2019,Monday,Feb,2,1,2019
20190212,2/12/2019,Tuesday,Feb,2,1,2019
20190213,2/13/2019,Wednesday,Feb,2,1,2019
20190214,2/14/2019,Thursday,Feb,2,1,2019
20190215,2/15/2019,Friday,Feb,2,1,2019
20190216,2/16/2019,Saturday,Feb,2,1,2019
20190217,2/17/2019,Sunday,Feb,2,1,2019
20190218,2/18/2019,Monday,Feb,2,1,2019
20190219,2/19/2019,Tuesday,Feb,2,1,2019
20190220,2/20/2019,Wednesday,Feb,2,1,2019
20190221,2/21/2019,Thursday,Feb,2,1,2019
20190222,2/22/2019,Friday,Feb,2,1,2019
20190223,2/23/2019,Saturday,Feb,2,1,2019
20190224,2/24/2019,Sunday,Feb,2,1,2019
20190225,2/25/2019,Monday,Feb,2,1,2019
20190226,2/26/2019,Tuesday,Feb,2,1,2019
20190227,2/27/2019,Wednesday,Feb,2,1,2019
20190228,2/28/2019,Thursday,Feb,2,1,2019
20190301,3/1/2019,Friday,Mar,3,1,2019
20190302,3/2/2019,Saturday,Mar,3,1,2019
20190303,3/3/2019,Sunday,Mar,3,1,2019
20190304,3/4/2019,Monday,Mar,3,1,2019
20190305,3/5/2019,Tuesday,Mar,3,1,2019
20190306,3/6/2019,Wednesday,Mar,3,1,2019
20190307,3/7/2019,Thursday,Mar,3,1,2019
20190308,3/8/2019,Friday,Mar,3,1,2019
20190309,3/9/2019,Saturday,Mar,3,1,2019
20190310,3/10/2019,Sunday,Mar,3,1,2019
20190311,3/11/2019,Monday,Mar,3,1,2019
20190312,3/12/2019,Tuesday,Mar,3,1,2019
20190313,3/13/2019,Wednesday,Mar,3,1,2019
20190314,3/14/2019,Thursday,Mar,3,1,2019
20190315,3/15/2019,Friday,Mar,3,1,2019
20190316,3/16/2019,Saturday,Mar,3,1,2019
20190317,3/17/2019,Sunday,Mar,3,1,2019
20190318,3/18/2019,Monday,Mar,3,1,2019
20190319,3/19/2019,Tuesday,Mar,3,1,2019
20190320,3/20/2019,Wednesday,Mar,3,1,2019
20190321,3/21/2019,Thursday,Mar,3,1,2019
20190322,3/22/2019,Friday,Mar,3,1,2019
20190323,3/23/2019,Saturday,Mar,3,1,2019
20190324,3/24/2019,Sunday,Mar,3,1,2019
20190325,3/25/2019,Monday,Mar,3,1,2019
20190326,3/26/2019,Tuesday,Mar,3,1,2019
20190327,3/27/2019,Wednesday,Mar,3,1,2019
20190328,3/28/2019,Thursday,Mar,3,1,2019
20190329,3/29/2019,Friday,Mar,3,1,2019
20190330,3/30/2019,Saturday,Mar,3,1,2019
20190331,3/31/2019,Sunday,Mar,3,1,2019
20190401,4/1/2019,Monday,Apr,4,2,2019
20190402,4/2/2019,Tuesday,Apr,4,2,2019
20190403,4/3/2019,Wednesday,Apr,4,2,2019
20190404,4/4/2019,Thursday,Apr,4,2,2019
20190405,4/5/2019,Friday,Apr,4,2,2019
20190406,4/6/2019,Saturday,Apr,4,2,2019
20190407,4/7/2019,Sunday,Apr,4,2,2019
20190408,4/8/2019,Monday,Apr,4,2,2019
20190409,4/9/2019,Tuesday,Apr,4,2,2019
20190410,4/10/2019,Wednesday,Apr,4,2,2019
20190411,4/11/2019,Thursday,Apr,4,2,2019
20190412,4/12/2019,Friday,Apr,4,2,2019
20190413,4/13/2019,Saturday,Apr,4,2,2019
20190414,4/14/2019,Sunday,Apr,4,2,2019
20190415,4/15/2019,Monday,Apr,4,2,2019
20190416,4/16/2019,Tuesday,Apr,4,2,2019
20190417,4/17/2019,Wednesday,Apr,4,2,2019
20190418,4/18/2019,Thursday,Apr,4,2,2019
20190419,4/19/2019,Friday,Apr,4,2,2019
20190420,4/20/2019,Saturday,Apr,4,2,2019
20190421,4/21/2019,Sunday,Apr,4,2,2019
20190422,4/22/2019,Monday,Apr,4,2,2019
20190423,4/23/2019,Tuesday,Apr,4,2,2019
20190424,4/24/2019,Wednesday,Apr,4,2,2019
20190425,4/25/2019,Thursday,Apr,4,2,2019
20190426,4/26/2019,Friday,Apr,4,2,2019
20190427,4/27/2019,Saturday,Apr,4,2,2019
20190428,4/28/2019,Sunday,Apr,4,2,2019
20190429,4/29/2019,Monday,Apr,4,2,2019
20190430,4/30/2019,Tuesday,Apr,4,2,2019
20190501,5/1/2019,Wednesday,May,5,2,2019
20190502,5/2/2019,Thursday,May,5,2,2019
20190503,5/3/2019,Friday,May,5,2,2019
20190504,5/4/2019,Saturday,May,5,2,2019
20190505,5/5/2019,Sunday,May,5,2,2019
20190506,5/6/2019,Monday,May,5,2,2019
20190507,5/7/2019,Tuesday,May,5,2,2019
20190508,5/8/2019,Wednesday,May,5,2,2019
20190509,5/9/2019,Thursday,May,5,2,2019
20190510,5/10/2019,Friday,May,5,2,2019
20190511,5/11/2019,Saturday,May,5,2,2019
20190512,5/12/2019,Sunday,May,5,2,2019
20190513,5/13/2019,Monday,May,5,2,2019
20190514,5/14/2019,Tuesday,May,5,2,2019
20190515,5/15/2019,Wednesday,May,5,2,2019
20190516,5/16/2019,Thursday,May,5,2,2019
20190517,5/17/2019,Friday,May,5,2,2019
20190518,5/18/2019,Saturday,May,5,2,2019
20190519,5/19/2019,Sunday,May,5,2,2019
20190520,5/20/2019,Monday,May,5,2,2019
20190521,5/21/2019,Tuesday,May,5,2,2019
20190522,5/22/2019,Wednesday,May,5,2,2019
