ProductKey,OrderDateKey,CustomerKey,SalesOrderNumber,OrderQuantity,SalesAmount,OrderDate,DueDate,ShipDate
310,20171229,21768,SO43697,1,3578.27,12/29/2017,1/10/2018,1/5/2018
346,20171229,28389,SO43698,1,3399.99,12/29/2017,1/10/2018,1/5/2018
346,20171229,25863,SO43699,1,3399.99,12/29/2017,1/10/2018,1/5/2018
336,20171229,14501,SO43700,1,699.0982,12/29/2017,1/10/2018,1/5/2018
346,20171229,11003,SO43701,1,3399.99,12/29/2017,1/10/2018,1/5/2018
311,20171230,27645,SO43702,1,3578.27,12/30/2017,1/11/2018,1/6/2018
310,20171230,16624,SO43703,1,3578.27,12/30/2017,1/11/2018,1/6/2018
351,20171230,11005,SO43704,1,3374.99,12/30/2017,1/11/2018,1/6/2018
344,20171230,11011,SO43705,1,3399.99,12/30/2017,1/11/2018,1/6/2018
312,20171231,27621,SO43706,1,3578.27,12/31/2017,1/12/2018,1/7/2018
312,20171231,27616,SO43707,1,3578.27,12/31/2017,1/12/2018,1/7/2018
330,20171231,20042,SO43708,1,699.0982,12/31/2017,1/12/2018,1/7/2018
313,20171231,16351,SO43709,1,3578.27,12/31/2017,1/12/2018,1/7/2018
314,20171231,16517,SO43710,1,3578.27,12/31/2017,1/12/2018,1/7/2018
314,20180101,27606,SO43711,1,3578.27,1/1/2018,1/13/2018,1/8/2018
311,20180101,13513,SO43712,1,3578.27,1/1/2018,1/13/2018,1/8/2018
310,20180102,27601,SO43713,1,3578.27,1/2/2018,1/14/2018,1/9/2018
311,20180102,13591,SO43714,1,3578.27,1/2/2018,1/14/2018,1/9/2018
314,20180102,16483,SO43715,1,3578.27,1/2/2018,1/14/2018,1/9/2018
311,20180102,16529,SO43716,1,3578.27,1/2/2018,1/14/2018,1/9/2018
336,20180102,25249,SO43717,1,699.0982,1/2/2018,1/14/2018,1/9/2018
311,20180103,27668,SO43718,1,3578.27,1/3/2018,1/15/2018,1/10/2018
312,20180103,27612,SO43719,1,3578.27,1/3/2018,1/15/2018,1/10/2018
311,20180103,13264,SO43720,1,3578.27,1/3/2018,1/15/2018,1/10/2018
310,20180103,13590,SO43721,1,3578.27,1/3/2018,1/15/2018,1/10/2018
312,20180104,13581,SO43722,1,3578.27,1/4/2018,1/16/2018,1/11/2018
332,20180104,14520,SO43723,1,699.0982,1/4/2018,1/16/2018,1/11/2018
311,20180104,16520,SO43724,1,3578.27,1/4/2018,1/16/2018,1/11/2018
311,20180105,13258,SO43725,1,3578.27,1/5/2018,1/17/2018,1/12/2018
332,20180105,14560,SO43726,1,699.0982,1/5/2018,1/17/2018,1/12/2018
311,20180105,16607,SO43727,1,3578.27,1/5/2018,1/17/2018,1/12/2018
313,20180106,27666,SO43728,1,3578.27,1/6/2018,1/18/2018,1/13/2018
346,20180106,11238,SO43729,1,3399.99,1/6/2018,1/18/2018,1/13/2018
346,20180106,25861,SO43730,1,3399.99,1/6/2018,1/18/2018,1/13/2018
314,20180106,16629,SO43731,1,3578.27,1/6/2018,1/18/2018,1/13/2018
350,20180106,11025,SO43732,1,3374.99,1/6/2018,1/18/2018,1/13/2018
312,20180106,27577,SO43733,1,3578.27,1/6/2018,1/18/2018,1/13/2018
312,20180107,27604,SO43734,1,3578.27,1/7/2018,1/19/2018,1/14/2018
310,20180107,16522,SO43735,1,3578.27,1/7/2018,1/19/2018,1/14/2018
346,20180107,11002,SO43736,1,3399.99,1/7/2018,1/19/2018,1/14/2018
311,20180108,13261,SO43737,1,3578.27,1/8/2018,1/20/2018,1/15/2018
312,20180108,11606,SO43738,1,3578.27,1/8/2018,1/20/2018,1/15/2018
310,20180108,13563,SO43739,1,3578.27,1/8/2018,1/20/2018,1/15/2018
312,20180108,16527,SO43740,1,3578.27,1/8/2018,1/20/2018,1/15/2018
310,20180109,27671,SO43741,1,3578.27,1/9/2018,1/21/2018,1/16/2018
314,20180109,13576,SO43742,1,3578.27,1/9/2018,1/21/2018,1/16/2018
347,20180109,11007,SO43743,1,3399.99,1/9/2018,1/21/2018,1/16/2018
313,20180109,16631,SO43744,1,3578.27,1/9/2018,1/21/2018,1/16/2018
311,20180110,16514,SO43745,1,3578.27,1/10/2018,1/22/2018,1/17/2018
312,20180110,16616,SO43746,1,3578.27,1/10/2018,1/22/2018,1/17/2018
314,20180111,27623,SO43747,1,3578.27,1/11/2018,1/23/2018,1/18/2018
313,20180111,27625,SO43748,1,3578.27,1/11/2018,1/23/2018,1/18/2018
314,20180111,27636,SO43749,1,3578.27,1/11/2018,1/23/2018,1/18/2018
311,20180111,11591,SO43750,1,3578.27,1/11/2018,1/23/2018,1/18/2018
313,20180111,11592,SO43751,1,3578.27,1/11/2018,1/23/2018,1/18/2018
311,20180111,13265,SO43752,1,3578.27,1/11/2018,1/23/2018,1/18/2018
310,20180111,16482,SO43753,1,3578.27,1/11/2018,1/23/2018,1/18/2018
312,20180112,27617,SO43754,1,3578.27,1/12/2018,1/24/2018,1/19/2018
311,20180112,27670,SO43755,1,3578.27,1/12/2018,1/24/2018,1/19/2018
332,20180112,19941,SO43756,1,699.0982,1/12/2018,1/24/2018,1/19/2018
350,20180112,11017,SO43757,1,3374.99,1/12/2018,1/24/2018,1/19/2018
310,20180113,27646,SO43758,1,3578.27,1/13/2018,1/25/2018,1/20/2018
310,20180113,13257,SO43759,1,3578.27,1/13/2018,1/25/2018,1/20/2018
314,20180113,16352,SO43760,1,3578.27,1/13/2018,1/25/2018,1/20/2018
310,20180113,16493,SO43761,1,3578.27,1/13/2018,1/25/2018,1/20/2018
314,20180114,27578,SO43762,1,3578.27,1/14/2018,1/26/2018,1/21/2018
313,20180114,16525,SO43763,1,3578.27,1/14/2018,1/26/2018,1/21/2018
310,20180114,16612,SO43764,1,3578.27,1/14/2018,1/26/2018,1/21/2018
346,20180114,11010,SO43765,1,3399.99,1/14/2018,1/26/2018,1/21/2018
313,20180115,16518,SO43766,1,3578.27,1/15/2018,1/27/2018,1/22/2018
350,20180115,11001,SO43767,1,3374.99,1/15/2018,1/27/2018,1/22/2018
312,20180116,27649,SO43768,1,3578.27,1/16/2018,1/28/2018,1/23/2018
312,20180116,21659,SO43769,1,3578.27,1/16/2018,1/28/2018,1/23/2018
312,20180116,27614,SO43770,1,3578.27,1/16/2018,1/28/2018,1/23/2018
330,20180116,14559,SO43771,1,699.0982,1/16/2018,1/28/2018,1/23/2018
312,20180116,16524,SO43772,1,3578.27,1/16/2018,1/28/2018,1/23/2018
314,20180116,16526,SO43773,1,3578.27,1/16/2018,1/28/2018,1/23/2018
313,20180116,16348,SO43774,1,3578.27,1/16/2018,1/28/2018,1/23/2018
347,20180116,11027,SO43775,1,3399.99,1/16/2018,1/28/2018,1/23/2018
314,20180117,13260,SO43776,1,3578.27,1/17/2018,1/29/2018,1/24/2018
311,20180117,16515,SO43777,1,3578.27,1/17/2018,1/29/2018,1/24/2018
345,20180117,11018,SO43778,1,3399.99,1/17/2018,1/29/2018,1/24/2018
326,20180117,25252,SO43779,1,699.0982,1/17/2018,1/29/2018,1/24/2018
311,20180118,11599,SO43780,1,3578.27,1/18/2018,1/30/2018,1/25/2018
312,20180118,16495,SO43781,1,3578.27,1/18/2018,1/30/2018,1/25/2018
312,20180118,16516,SO43782,1,3578.27,1/18/2018,1/30/2018,1/25/2018
312,20180118,16620,SO43783,1,3578.27,1/18/2018,1/30/2018,1/25/2018
310,20180119,27667,SO43784,1,3578.27,1/19/2018,1/31/2018,1/26/2018
311,20180119,11601,SO43785,1,3578.27,1/19/2018,1/31/2018,1/26/2018
311,20180119,11607,SO43786,1,3578.27,1/19/2018,1/31/2018,1/26/2018
344,20180119,29385,SO43787,1,3399.99,1/19/2018,1/31/2018,1/26/2018
351,20180119,11239,SO43788,1,3374.99,1/19/2018,1/31/2018,1/26/2018
351,20180119,25865,SO43789,1,3374.99,1/19/2018,1/31/2018,1/26/2018
344,20180119,25857,SO43790,1,3399.99,1/19/2018,1/31/2018,1/26/2018
314,20180119,16484,SO43791,1,3578.27,1/19/2018,1/31/2018,1/26/2018
312,20180119,16623,SO43792,1,3578.27,1/19/2018,1/31/2018,1/26/2018
344,20180119,11000,SO43793,1,3399.99,1/19/2018,1/31/2018,1/26/2018
347,20180119,11029,SO43794,1,3399.99,1/19/2018,1/31/2018,1/26/2018
312,20180120,27615,SO43795,1,3578.27,1/20/2018,2/1/2018,1/27/2018
342,20180120,17956,SO43796,1,699.0982,1/20/2018,2/1/2018,1/27/2018
312,20180120,16345,SO43797,1,3578.27,1/20/2018,2/1/2018,1/27/2018
310,20180120,16521,SO43798,1,3578.27,1/20/2018,2/1/2018,1/27/2018
312,20180120,16636,SO43799,1,3578.27,1/20/2018,2/1/2018,1/27/2018
311,20180121,21710,SO43800,1,3578.27,1/21/2018,2/2/2018,1/28/2018
311,20180121,13583,SO43801,1,3578.27,1/21/2018,2/2/2018,1/28/2018
312,20180121,11593,SO43802,1,3578.27,1/21/2018,2/2/2018,1/28/2018
314,20180122,21741,SO43803,1,3578.27,1/22/2018,2/3/2018,1/29/2018
310,20180122,13585,SO43804,1,3578.27,1/22/2018,2/3/2018,1/29/2018
328,20180122,14510,SO43805,1,699.0982,1/22/2018,2/3/2018,1/29/2018
312,20180122,16523,SO43806,1,3578.27,1/22/2018,2/3/2018,1/29/2018
312,20180123,11611,SO43807,1,3578.27,1/23/2018,2/4/2018,1/30/2018
313,20180123,13259,SO43808,1,3578.27,1/23/2018,2/4/2018,1/30/2018
